14,15,14,4,13,14,6,11,15,7,6,6,15,14,10,16,8,13,10,15,17,13,14,15,15,14,13,15,7,14,7,4,15,8,14,16,12,19,21,17,20,15,16,9,13,16,15,14,13,4,6,13,15,15,6,18,12,9,14,15,14,15,14,17,15,9,16,13,16,17,14,12,15,14,18,16,19,17,17,18,14,10,15,15,13,2,3,13,5,4,2,13,0,0,15,14,3,13,6,13,15,13,19,16,10,11,19,13,22,17,17,11,7,6,3,14,15,14,12,12,13,5,19,5,8,13,8,15,8,14,17,14,9,4,13,15,6,4,15,12,14,13,10,13,19,11,10,15,15,11,15,25,21,13,14,15,20,15,17,15,3,4,2,6,6,19,18,9,7,14,15,17
7,12,12,10,12,12,17,10,9,14,15,10,9,18,17,14,14,19,15,18,13,13,19,19,17,14,12,17,10,16,17,16,7,17,13,15,17,16,9,15,11,8,12,9,16,11,14,14,12,14,17,13,13,19,15,14,13,12,13,4,14,15,6,9,17,13,12,16,16,12,10,13,5,10,17,18,35,37,40,55,69,66,90,99,100,103,79,84,135,135,136,92,113,90,99,100,84,63,80,75,86,71,56,45,35,44,43,44,48,44,31,24,15,7,15,14,16,15,14,6,16,13,4,6,4,17,14,15,14,14,8,6,6,10,14,12,17,6,15,13,16,19,5,7,2,10,6,15,13,14,15,14,6,14,15,5,17,14,15,13,12,0,12,14,14,4,13,13,15,7,12,15
5,6,6,2,14,6,14,13,14,14,14,13,17,6,6,13,16,15,14,4,15,15,0,15,13,13,2,8,10,8,13,13,4,15,10,8,17,13,10,11,9,8,6,15,16,7,11,12,12,14,6,9,15,13,16,17,13,21,17,16,16,9,14,13,15,18,11,17,10,9,12,18,15,16,22,32,56,85,67,75,86,77,98,97,88,87,81,83,87,76,88,85,56,87,69,87,79,66,66,51,46,43,42,35,29,35,40,46,38,38,28,18,6,13,5,7,13,11,14,15,6,3,6,12,14,15,13,2,11,8,4,7,15,2,13,4,10,12,4,7,7,14,1,4,13,3,12,2,13,17,13,5,5,15,16,13,6,14,14,14,4,13,17,11,15,6,14,12,16,12,15,13
4,5,14,15,15,14,14,15,18,16,12,4,15,8,14,13,15,11,15,15,17,13,6,15,19,14,13,12,15,13,1,15,15,14,4,4,14,4,13,14,12,14,12,4,2,2,8,6,11,16,15,5,17,10,18,13,27,33,49,52,64,68,68,82,87,72,92,73,75,70,90,79,70,88,72,68,75,63,56,43,38,34,27,33,34,38,38,33,33,22,14,14,13,15,4,6,5,6,14,15,14,14,10,13,10,14,12,7,14,3,14,5,13,2,2,0,1,2,15,14,12,8,15,13,15,16,14,16,15,14,16,15,6,13,6,5,13,15,18,8,17,8,6,4,15,8,13,5,5,6,15,15,11,5,13,15,15,3,14,14,11,14,14,4,5,15,3,14,2,2,13,15
7,13,6,12,14,8,4,7,10,17,6,14,14,5,8,3,13,11,13,4,13,7,7,15,7,16,13,4,14,13,3,2,2,15,5,14,4,5,14,13,2,15,0,15,15,4,4,11,5,13,15,10,11,15,2,15,4,13,15,15,14,13,14,15,12,3,4,15,3,12,17,13,15,15,11,15,19,18,22,22,34,50,62,59,61,68,54,64,77,76,100,52,71,80,77,69,78,82,77,62,62,67,64,62,51,45,40,33,39,42,49,46,34,26,19,11,6,15,15,12,6,4,11,15,5,12,13,19,15,14,5,8,13,12,8,14,5,14,6,15,13,12,12,15,4,4,13,17,7,4,6,12,10,15,16,12,15,13,15,15,15,14,16,13,13,13,15,16,15,4,4,3
3,4,13,14,8,13,9,12,11,15,5,4,15,5,15,12,5,4,15,15,15,4,16,15,13,3,13,2,14,13,15,3,14,13,0,1,16,14,2,12,3,1,14,15,15,1,14,12,15,15,13,13,1,2,12,14,15,4,13,6,15,13,2,3,3,14,11,1,3,10,13,14,13,13,14,2,11,6,13,9,5,11,6,15,15,8,12,14,10,17,18,21,47,43,62,60,58,59,57,74,72,80,76,44,78,81,76,104,67,58,93,69,79,78,62,61,65,58,42,41,37,41,37,38,42,39,39,24,16,15,3,14,14,13,14,3,4,1,15,15,14,16,1,14,14,15,14,13,13,3,15,15,15,15,1,15,2,5,0,2,15,2,4,6,12,2,4,13,1,15,15,4
13,15,16,5,12,14,12,9,14,15,14,15,13,10,13,21,6,14,9,11,13,19,14,12,16,12,4,10,15,12,3,14,13,14,6,2,16,8,6,14,16,5,14,3,6,14,6,3,2,4,14,16,14,6,12,12,14,4,15,12,15,1,14,14,14,3,12,14,14,14,20,10,29,23,25,42,40,38,41,49,49,45,52,61,61,61,48,52,54,63,71,50,55,63,64,72,52,51,44,46,44,30,31,38,42,34,39,26,20,14,13,15,14,5,16,7,16,12,10,4,15,5,16,12,14,15,18,17,14,6,12,13,6,5,15,6,10,7,14,10,5,15,12,8,16,13,12,8,11,6,7,15,14,14,14,6,14,12,2,8,1,14,15,15,2,14,13,14,14,14,14,3
4,10,8,15,13,4,13,13,4,15,4,14,2,2,6,12,14,15,14,4,13,3,11,15,5,15,13,4,8,6,15,14,6,16,10,14,14,15,10,15,3,13,14,14,12,5,15,5,14,6,5,2,2,3,15,4,1,15,14,10,4,14,14,8,17,12,13,8,8,16,15,7,13,14,16,11,10,14,15,9,16,9,17,13,20,30,50,56,60,66,69,73,65,82,101,77,74,88,80,72,69,68,74,72,77,73,68,73,64,48,45,38,35,35,43,51,46,43,40,27,13,6,14,19,12,9,13,14,7,18,18,14,5,12,8,7,12,13,15,15,12,12,15,15,13,7,4,14,14,3,2,13,14,3,7,14,15,14,13,13,13,12,6,14,6,15,17,15,13,5,14,9
1,11,6,12,2,14,14,13,2,14,14,10,15,14,13,6,15,13,2,12,6,14,12,13,5,4,11,15,6,3,14,2,14,2,4,6,2,13,14,6,16,14,14,15,4,14,14,13,17,15,13,4,6,17,16,19,20,15,19,17,15,13,15,15,7,12,12,15,13,13,11,21,22,25,35,27,37,37,52,68,84,93,79,90,93,103,89,86,100,95,97,70,88,79,71,58,60,61,97,75,56,77,69,59,57,52,47,45,51,46,59,49,45,40,19,16,13,16,18,17,13,11,9,4,7,14,9,10,17,9,12,15,15,8,15,2,14,8,13,12,13,11,13,7,15,15,3,13,3,14,15,15,16,8,15,3,16,11,12,11,14,8,14,2,0,0,15,2,1,15,11,15
6,14,15,11,6,12,13,14,7,8,10,14,13,15,14,16,11,6,15,14,15,13,15,15,14,12,11,12,8,12,14,16,14,15,15,13,14,4,15,7,8,15,17,9,14,10,11,9,10,8,16,12,15,11,16,7,13,15,15,12,12,14,13,7,15,11,2,15,7,4,14,15,18,34,85,40,23,47,52,50,59,76,85,83,79,77,64,80,79,73,60,81,62,74,67,55,62,56,52,56,61,49,49,44,29,33,29,40,39,44,40,36,30,24,14,15,11,15,15,14,6,14,7,13,2,13,6,7,4,14,13,13,14,14,15,17,2,12,15,5,10,15,7,15,17,14,9,5,13,14,14,12,12,9,9,4,5,14,6,14,5,15,15,14,14,14,6,13,8,13,15,18
