15,12,5,15,1,2,15,12,14,4,8,7,5,12,13,4,5,4,2,3,17,7,12,4,4,11,14,3,14,10,14,5,13,7,6,15,16,15,1,15,14,11,3,5,13,15,13,6,15,14,11,15,14,10,13,16,17,5,5,13,15,14,12,8,12,16,15,12,16,14,17,12,13,17,18,17,20,24,19,14,17,13,14,14,21,15,14,11,10,11,6,18,15,14,3,12,12,14,13,18,17,8,14,15,8,8,15,14,15,17,5,15,14,5,14,16,13,12,15,14,4,2,12,5,14,8,4,14,14,13,14,15,16,14,13,6,14,3,1,14,14,0,0,6,6,14,2,15,4,13,14,13,13,14,14,2,5,1,14,2,15,5,4,14,14,6,14,15,3,12,15,9
6,4,11,14,15,14,1,2,4,5,16,14,15,13,15,2,15,19,15,4,1,14,14,4,14,13,14,5,8,16,6,10,13,17,9,16,18,18,15,18,36,28,44,54,51,42,57,58,64,49,51,53,43,28,18,17,14,7,14,20,12,118,196,216,261,247,264,244,212,250,222,219,206,180,219,220,195,240,202,246,255,220,157,141,150,143,94,28,15,6,14,6,13,10,16,7,15,13,15,3,15,2,14,12,2,15,2,14,15,15,16,3,2,15,11,13,15,10,14,15,11,14,14,10,15,14,11,14,6,15,17,4,13,3,13,5,12,15,4,15,14,14,15,1,2,14,0,13,5,14,12,14,15,11,12,7,13,12,14,6,4,11,6,15,14,7,13,15,14,11,19,12
2,6,7,15,10,13,9,8,6,5,8,14,14,14,11,15,17,2,3,4,4,2,2,15,14,8,15,14,7,14,5,15,14,14,15,13,6,7,5,8,19,19,20,31,23,22,15,18,20,20,27,30,26,33,39,40,43,42,35,18,30,78,103,116,161,202,183,141,203,155,208,174,188,198,230,240,226,192,179,123,116,109,103,65,27,18,14,14,15,8,15,21,13,12,14,12,13,14,13,2,13,5,5,2,15,2,14,14,13,4,3,15,3,15,14,2,15,14,12,11,4,15,4,7,14,14,2,10,15,15,4,4,15,4,15,0,2,13,14,4,2,2,14,15,15,16,10,4,6,15,14,4,13,2,18,15,15,12,4,15,6,1,16,16,2,2,14,4,0,14,16,15
13,23,38,26,13,10,14,14,6,14,14,14,12,10,13,15,17,15,17,13,16,12,15,3,10,14,5,15,12,15,15,12,15,13,3,14,4,14,15,12,14,13,9,10,14,18,25,30,31,21,34,46,52,46,37,32,47,30,19,9,13,12,17,10,8,17,18,21,38,83,166,232,225,195,190,210,206,208,174,203,182,193,145,161,154,195,165,91,74,41,19,17,12,13,14,14,13,34,26,7,10,15,9,12,3,13,15,6,15,13,15,12,15,16,19,14,12,15,11,15,13,15,16,12,11,18,14,15,15,14,12,17,12,10,10,10,8,14,14,2,12,14,12,15,14,14,13,14,12,14,13,13,1,13,4,12,15,14,12,11,17,19,19,21,13,19,17,16,12,6,10,14
15,4,12,15,14,15,8,6,6,12,16,13,6,14,15,14,7,2,16,14,17,5,4,11,13,13,14,17,14,6,12,3,5,13,14,2,0,15,21,12,19,10,17,16,11,16,19,24,18,23,23,30,33,30,44,38,46,61,57,33,10,14,15,15,13,12,15,13,31,55,72,119,163,171,145,157,175,181,166,159,175,175,170,204,181,196,202,193,161,150,132,137,107,44,14,14,14,4,5,15,7,24,12,15,5,4,16,15,10,16,12,14,7,2,10,15,15,13,14,6,14,6,10,15,8,13,7,15,15,12,14,12,13,5,8,13,16,12,4,8,14,15,14,11,3,6,13,15,4,14,14,14,4,12,9,15,13,4,14,2,15,13,3,0,15,3,15,15,15,10,15,15
17,14,14,15,15,15,1,12,14,3,15,2,13,2,14,14,14,15,16,12,3,15,13,8,15,5,15,6,15,13,15,4,11,13,15,12,12,15,13,13,5,6,14,4,3,12,15,15,4,2,14,14,7,0,9,18,21,27,21,33,51,46,42,35,47,47,43,24,32,26,15,18,4,19,7,21,22,13,52,142,115,143,172,186,161,139,139,147,155,180,125,164,154,201,151,157,119,118,141,134,89,23,15,12,13,12,15,24,24,6,15,11,8,15,6,14,12,14,14,8,5,14,12,15,5,15,15,15,15,11,10,17,12,12,6,5,14,10,12,14,14,14,14,14,7,7,7,7,19,15,8,14,9,2,13,12,5,14,14,5,16,12,3,13,13,15,9,6,7,2,13,13
15,2,13,14,14,12,13,11,15,8,12,17,16,4,15,10,16,14,15,14,35,14,12,14,15,14,12,8,12,18,11,12,10,14,9,3,14,13,15,12,11,15,14,5,14,15,15,13,10,4,14,15,14,13,17,25,29,22,35,26,25,32,31,48,38,38,34,22,19,22,5,16,14,21,10,22,25,18,62,85,104,169,142,151,135,122,159,104,179,196,171,152,166,168,172,261,239,180,148,169,181,172,123,26,38,19,23,32,43,45,60,59,27,33,33,35,28,21,16,18,13,16,14,13,21,24,30,23,19,21,17,37,21,35,31,25,16,14,13,11,23,18,6,12,13,12,16,17,17,15,18,15,8,11,15,7,10,11,8,17,12,12,10,15,5,11,16,14,15,17,15,10
14,15,14,12,11,15,16,15,15,13,15,8,15,8,12,16,15,16,19,12,18,19,8,14,6,17,15,5,8,15,9,5,14,15,12,15,14,13,15,18,17,9,16,13,10,9,14,9,8,12,16,11,7,15,8,15,22,30,22,40,42,36,50,64,57,42,41,32,11,9,17,15,15,16,24,44,120,134,182,182,178,156,194,129,182,195,231,270,256,189,246,214,285,200,214,247,209,153,150,122,137,72,17,14,14,13,14,22,28,28,19,16,16,15,10,10,5,9,10,16,10,18,15,9,11,15,15,11,11,16,18,14,12,6,7,10,15,10,13,12,12,17,12,14,9,12,11,12,10,17,14,9,15,10,6,15,3,10,12,8,6,15,1,13,11,0,15,2,8,8,17,16
9,14,13,19,15,16,16,16,13,6,13,6,10,15,5,15,6,15,4,11,10,15,16,15,17,14,10,16,11,5,17,11,14,13,11,13,19,18,12,15,19,15,10,12,17,15,22,22,28,23,14,17,16,14,15,16,15,14,15,6,8,16,17,12,14,18,19,18,27,21,30,26,38,38,18,23,16,17,14,7,22,21,16,27,75,113,224,220,197,155,211,211,170,168,172,216,216,175,206,234,191,261,216,205,206,139,167,140,157,89,28,10,15,17,18,17,14,23,30,22,22,19,13,14,25,14,17,15,10,13,9,15,4,4,3,15,15,15,12,11,13,12,15,4,15,13,4,15,5,15,5,11,14,14,15,15,19,15,15,4,6,4,14,7,12,15,3,15,14,4,13,15
14,14,15,14,2,11,14,5,2,5,14,4,15,15,3,13,15,3,12,15,0,15,15,15,14,14,3,1,3,14,14,15,9,11,14,15,10,19,12,14,4,15,13,17,15,10,6,8,15,10,2,14,6,14,15,12,2,15,9,10,14,15,21,37,23,31,41,38,51,42,30,41,27,28,15,7,12,13,7,13,23,30,61,148,211,167,206,164,147,191,213,150,146,208,248,284,242,255,239,263,233,219,181,150,107,34,12,16,16,13,13,9,16,34,54,19,11,13,14,11,15,10,15,10,11,14,14,6,2,10,12,6,12,13,6,13,13,9,15,13,14,9,15,14,14,10,10,16,15,15,8,13,16,16,12,17,13,15,14,13,12,17,16,14,15,15,17,12,13,14,4,13
