15,14,1,15,0,3,15,16,0,0,0,15,14,1,0,0,15,0,1,0,0,2,0,2,15,15,14,15,0,15,0,0,3,0,14,1,0,3,0,1,0,15,0,15,3,2,2,15,1,1,15,0,0,16,3,1,0,15,1,13,15,1,1,0,0,0,14,1,0,14,0,3,15,0,2,0,15,16,1,0,0,15,15,0,14,0,0,0,0,0,15,15,0,2,0,0,0,15,0,5,0,1,1,3,2,1,12,8,11,16,14,20,32,34,35,45,50,46,58,44,51,59,67,50,48,64,45,38,33,26,25,20,22,16,3,0,10,16,21,27,28,31,27,35,34,31,32,30,16,20,18,12,14,9,15,15,11,8,13,1,14,15,0,0,15,1,2,0,0,0,0,0
14,0,0,1,0,15,0,1,0,15,14,0,1,0,15,15,0,0,15,0,16,0,0,0,15,15,15,15,0,0,0,0,0,15,0,15,0,0,14,0,15,14,0,2,1,0,1,1,15,15,0,0,15,1,16,15,16,14,0,0,0,15,1,16,5,15,5,6,13,20,35,29,25,49,64,71,67,69,71,76,101,96,91,78,89,97,104,76,76,64,77,56,38,19,23,19,10,11,12,16,27,27,23,16,20,22,19,25,25,28,27,36,34,28,21,13,25,17,22,11,12,13,14,16,7,15,9,8,14,15,0,1,2,0,0,0,15,0,0,15,15,14,15,0,0,3,0,1,17,0,0,0,13,14,14,15,0,0,16,4,0,15,15,15,15,0,0,2,1,0,16,15
0,2,0,0,1,15,11,0,15,13,0,2,0,0,14,3,0,0,15,15,15,14,15,1,0,0,2,0,0,0,0,0,0,2,0,2,15,0,15,0,0,0,2,0,0,15,1,0,14,15,0,15,1,3,0,0,15,0,2,15,0,0,0,14,0,15,0,15,14,11,0,0,2,4,2,0,3,0,15,14,0,0,15,14,22,36,39,33,25,44,52,72,59,65,56,83,71,69,79,98,86,100,89,75,67,68,71,26,21,36,41,29,26,15,18,37,38,34,36,41,44,54,50,55,42,43,32,26,18,19,22,26,28,8,12,19,10,14,11,17,16,2,2,1,3,1,14,0,0,1,3,14,13,14,14,14,12,14,13,0,15,14,2,2,2,3,15,15,0,14,14,14
14,15,2,15,3,14,1,13,14,1,0,1,0,0,0,0,2,14,0,15,0,0,1,0,0,15,1,14,15,15,15,15,14,0,15,15,12,2,0,1,15,16,0,1,0,0,14,0,0,15,16,5,15,0,15,13,6,0,0,5,2,0,14,2,4,1,0,14,15,2,2,1,1,0,0,0,15,2,12,14,0,3,0,3,1,0,17,14,15,24,34,49,42,44,63,56,113,94,95,97,115,122,115,114,160,131,167,116,94,104,112,94,83,66,36,37,49,25,14,22,15,31,33,31,25,28,29,25,31,42,32,36,53,53,46,37,21,13,17,21,19,14,6,0,2,17,2,2,14,11,12,15,15,2,2,1,0,0,2,13,14,14,1,0,3,14,0,0,14,0,0,0
0,15,2,15,14,0,2,13,15,0,0,0,0,13,15,16,0,0,15,0,0,15,0,16,15,14,15,2,0,0,1,15,0,0,15,0,14,0,0,12,15,0,2,2,0,15,0,0,4,0,15,15,0,0,0,12,15,0,3,2,0,0,15,15,0,2,15,15,14,15,0,0,14,15,14,14,0,0,14,1,15,1,16,15,2,0,3,0,15,1,0,16,13,15,0,15,16,16,1,15,14,31,49,68,36,30,91,89,123,124,133,132,125,139,120,151,137,97,97,105,94,92,111,70,59,59,48,52,33,22,17,17,26,20,22,27,25,26,24,26,31,33,34,34,29,23,13,13,16,17,15,4,1,2,0,2,1,14,1,4,12,14,2,0,1,0,12,5,6,1,3,2
0,2,14,4,14,0,14,0,14,15,0,16,15,1,1,0,0,0,1,14,0,15,0,4,15,0,16,15,1,15,14,14,16,0,15,2,3,2,0,1,1,15,0,0,0,2,2,15,13,0,3,0,0,0,17,15,1,2,6,6,28,43,48,114,77,80,97,97,124,154,146,182,177,173,172,177,216,165,160,172,145,127,88,133,74,39,74,40,39,41,33,61,50,33,42,34,39,32,32,41,52,54,71,56,43,33,23,12,25,30,21,14,14,12,10,10,15,14,15,14,12,8,13,14,14,15,14,3,3,16,0,2,0,2,1,2,4,11,13,10,13,9,14,14,6,12,14,2,4,6,2,14,2,2,1,15,13,12,14,0,15,0,2,0,14,0,0,4,13,14,15,14
0,15,14,15,15,15,14,2,0,2,1,0,1,0,12,0,15,14,1,15,15,0,0,2,0,0,15,15,2,15,2,14,0,0,0,0,1,0,12,15,15,1,1,0,0,0,0,14,0,0,14,0,14,15,0,15,0,3,15,1,6,28,30,62,68,49,74,73,108,90,101,117,102,108,112,119,137,154,120,167,84,96,91,83,67,56,40,34,22,25,31,42,39,46,20,23,30,24,27,41,51,35,43,47,41,36,34,29,18,20,19,17,17,1,8,2,0,1,15,2,15,14,4,2,14,15,0,0,0,1,2,15,15,0,1,0,0,15,14,14,15,15,3,10,9,11,5,2,2,3,3,2,15,15,15,15,1,14,15,14,10,15,0,1,0,15,14,15,0,0,0,0
15,15,12,2,16,0,0,0,0,14,0,1,1,0,15,3,0,0,15,3,0,1,14,0,0,0,1,0,0,0,14,0,2,1,4,2,0,15,16,0,15,14,13,0,0,0,0,0,15,0,0,2,2,1,2,2,4,17,18,43,40,41,61,77,86,101,111,97,107,129,112,132,119,147,124,104,124,158,120,108,79,57,53,32,18,15,27,27,28,31,36,24,24,40,24,37,37,44,52,57,65,45,35,15,11,21,21,13,10,15,6,9,15,4,14,0,14,14,14,13,14,1,1,2,4,0,2,15,14,16,15,15,0,15,1,0,14,15,0,0,5,13,13,0,11,17,1,10,14,9,15,8,13,3,15,1,10,15,2,7,3,6,6,2,1,15,14,0,13,14,14,1
2,15,2,15,1,0,2,3,1,0,1,3,1,13,14,14,12,13,0,15,0,2,0,0,0,0,0,0,0,2,2,0,0,14,15,14,17,14,0,1,0,1,1,0,0,0,0,1,15,0,0,15,14,15,15,14,15,14,0,2,15,4,1,0,1,12,14,0,3,17,22,35,55,62,52,67,85,87,80,86,104,109,111,100,135,94,96,104,75,59,83,82,55,50,39,39,42,42,36,22,22,23,25,41,58,50,39,39,23,32,34,45,48,47,49,28,16,11,21,23,21,17,19,18,12,15,4,5,19,15,3,14,13,12,13,15,1,1,1,0,0,15,15,3,0,0,1,5,14,1,5,5,10,12,15,3,0,12,11,2,11,0,1,4,14,8,0,0,12,14,15,14
15,15,15,3,1,14,2,0,4,15,15,16,15,0,16,15,15,1,0,0,1,14,15,15,0,0,3,0,2,15,13,0,17,15,0,0,14,15,14,0,1,0,0,16,1,0,15,0,12,0,0,15,15,0,15,0,2,0,15,1,0,0,1,0,2,16,0,14,14,15,12,3,15,14,0,15,1,15,0,1,0,0,1,1,0,12,15,14,15,15,15,13,17,30,43,84,70,63,79,119,168,175,172,178,167,176,177,193,223,200,163,113,142,170,130,125,104,85,68,36,38,27,17,33,41,55,48,54,51,63,63,77,64,62,51,44,25,15,17,22,29,21,23,14,14,15,8,16,6,6,14,15,5,5,1,14,15,14,3,7,12,7,14,9,15,8,2,2,0,1,1,0
